id,product_name,description,rare,price
63,Egyptian cobra,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,true,$10.96
64,"Heron, grey",Praesent blandit.,true,$16.98
65,"Turaco, violet-crested",Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,false,$12.84
66,Brush-tailed rat kangaroo,Vivamus tortor.,false,$19.37
67,Levaillant's barbet,Cras non velit nec nisi vulputate nonummy.,true,$11.54
68,Red phalarope,Integer non velit.,true,$18.93
69,Great cormorant,Ut tellus. Nulla ut erat id mauris vulputate elementum.,false,$14.45
70,"Cardinal, black-throated",Aenean fermentum. Donec ut mauris eget massa tempor convallis.,true,$14.44
71,Chuckwalla,Maecenas tincidunt lacus at velit.,true,$15.46
72,"Tern, white-winged black","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",false,$13.52
73,Crested bunting,Curabitur gravida nisi at nibh.,false,$12.34
74,"Lion, southern sea",Proin risus.,false,$16.08
75,"Dog, bush","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",true,$19.80
76,"Racer, american","In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",true,$12.70
77,"Parrot, hawk-headed",Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,false,$10.36
78,"Peacock, indian","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",false,$11.92
79,Roan antelope,Nulla justo.,false,$12.72
80,"Legaan, water",Etiam vel augue.,false,$17.07
81,"Stork, painted",Nullam porttitor lacus at turpis.,false,$14.63
82,"Eagle, african fish",Aenean fermentum. Donec ut mauris eget massa tempor convallis.,false,$11.00
83,Red hartebeest,Proin eu mi. Nulla ac enim.,false,$15.66
84,Stick insect,Nunc rhoncus dui vel sem.,false,$12.64
85,"Duck, comb",Nulla nisl. Nunc nisl.,true,$10.80
86,"Tortoise, asian foreset","Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",false,$16.71
87,Sociable weaver,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",true,$11.33
88,White-rumped vulture,Integer ac neque.,false,$17.21
89,Sea birds (unidentified),Morbi ut odio.,false,$19.24
90,"Goose, canada","Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",false,$13.76
91,Giant heron,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",false,$10.59
92,"Ibis, glossy","Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",false,$10.96
93,"Owl, australian masked",Integer a nibh. In quis justo.,false,$19.66
94,Giant anteater,Morbi non quam nec dui luctus rutrum. Nulla tellus.,true,$14.54
95,Little brown dove,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,false,$14.43
96,Mocking cliffchat,Donec ut dolor.,true,$12.84
97,Tyrant flycatcher,Fusce consequat. Nulla nisl.,true,$12.35
98,Cape white-eye,Nullam sit amet turpis elementum ligula vehicula consequat.,true,$16.61
99,Dingo,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,true,$13.42
100,Common wallaroo,Integer a nibh.,true,$17.07
